time	txpkts	txbytes	rxpkts	rxbytes
642	12	1273	165	15107
643	26	2825	106	8596
644	22	2401	111	10385
645	40	7795	123	10654
646	47	10508	206	19754
647	17	3295	162	14866
648	35	7112	188	18210
649	17	4208	142	13729
650	33	10963	98	8554
651	25	6890	69	6666
652	1	66	18	2177
653	10	2643	33	3773
654	8	2870	21	2341
655	18	4650	24	2051
656	17	5358	22	2357
657	16	4421	27	2426
658	44	13122	48	3748
659	33	6260	33	3253
660	42	11893	37	2456
661	33	4371	35	3282
662	44	15552	39	2624
663	40	14327	32	2825
664	6	396	3	198
665	16	2000	9	668
666	8	1472	5	404
667	12	792	6	396
668	6	1340	4	338
669	2	132	1	66
670	10	1604	6	470
671	4	264	2	132
672	4	1208	3	272
673	4	264	2	132
674	2	132	1	66
675	10	1604	6	470
676	6	396	3	198
677	8	1472	5	404
678	2	132	1	66
679	13	852	7	456
680	8	1472	5	404
681	4	264	2	132
682	8	2818	9	697
683	4	264	2	132
684	4	264	2	132
685	4	264	2	132
686	4	264	2	132
687	16	2000	9	668
688	10	660	5	330
689	12	792	6	396
690	2	132	1	66
691	4	1208	3	272
692	14	924	7	462
693	12	792	6	396
694	0	0	0	0
695	0	0	0	0
696	2	1076	2	206
697	0	0	0	0
698	0	0	0	0
699	0	0	0	0
700	0	0	0	0
701	2	1076	2	206
702	0	0	0	0
703	0	0	0	0
704	0	0	0	0
705	0	0	0	0
706	2	1076	2	206
707	0	0	0	0
708	0	0	0	0
709	0	0	0	0
710	0	0	0	0
711	2	1076	2	206
712	0	0	0	0
713	0	0	0	0
714	0	0	0	0
715	0	0	0	0
716	0	0	0	0
717	0	0	0	0
718	0	0	0	0
719	0	0	0	0
720	0	0	0	0
721	0	0	0	0
722	0	0	0	0
723	0	0	0	0
724	0	0	0	0
725	0	0	0	0
726	0	0	0	0
727	0	0	0	0
728	0	0	0	0
729	0	0	0	0
730	0	0	0	0
731	0	0	0	0
732	0	0	0	0
